('The squirrel is kind.', 'The squirrel is boring.', False)
('The dinosaur is angry.', 'The dinosaur is angry.', True)
('The dinosaur is angry.', 'The dinosaur is angry.', True)
('The wolf is awful.', 'The wolf is fierce.', False)
('The wolf is awful.', 'The wolf is fierce.', False)
('The rabbit is cute.', 'The rabbit is beautiful.', False)
('The rabbit is cute.', 'The rabbit is beautiful.', False)
('The dinosaur sees the rabbit.', 'The dinosaur is and the dinosaur is and and are and are and are and are and are', False)
('The dinosaur sees the rabbit.', 'The dinosaur is and are and is and are and is and are and are and is and', False)
('The dog is kind.', 'The dog is kind.', True)
('The dog is kind.', 'The dog is kind.', True)
('The tiger is sleepy.', 'The tiger is slow.', False)
('The tiger is sleepy.', 'The tiger is slow.', False)
('The crocodile is fierce.', 'The crocodile is sleepy.', False)
('The crocodile is fierce.', 'The crocodile is sleepy.', False)
('The cat is funny.', 'The cat is funny.', True)
('The cat is funny.', 'The cat is funny.', True)
('The tiger visits the cat.', 'The tiger is angry.', False)
('The tiger visits the cat.', 'The tiger is angry.', False)
('The dog is nice.', 'The dog is is is is is is is is is is is is is is is i', False)
('The dog is nice.', 'The dog is is is is is is is is is is is is is is is i', False)
('The tiger is reckless.', 'The tiger is boring.', False)
('The tiger is reckless.', 'The tiger is boring.', False)
('The cheetah is fierce.', 'The cheetah is obese.', False)
('The cheetah is fierce.', 'The cheetah is obese.', False)
('The squirrel is cute.', 'The squirrel is cute.', True)
('The squirrel is cute.', 'The squirrel is cute.', True)
('The tiger visits the squirrel.', 'The tiger is sleepy.', False)
('The tiger visits the squirrel.', 'The tiger is sleepy.', False)
('The squirrel is nice.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The squirrel is nice.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The snake is slow.', 'The snake is obese.', False)
('The snake is slow.', 'The snake is obese.', False)
('The crocodile is strong.', 'The crocodile is slow.', False)
('The crocodile is strong.', 'The crocodile is slow.', False)
('The dog is furry.', 'The dog is is is is is is adorable.', False)
('The dog is furry.', 'The dog is is is is is is is adorable.', False)
('The snake attacks the dog.', 'The snake likes the squirrel.', False)
('The snake attacks the dog.', 'The snake likes the squirrel.', False)
('The squirrel is smart.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The squirrel is smart.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The cheetah is lazy.', 'The cheetah is beautiful.', False)
('The cheetah is lazy.', 'The cheetah is beautiful.', False)
('The crocodile is fierce.', 'The crocodile is awful.', False)
('The crocodile is fierce.', 'The crocodile is awful.', False)
('The mouse is lovely.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The mouse is lovely.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The cheetah attacks the mouse.', 'The cheetah attacks the mouse.', True)
('The cheetah attacks the mouse.', 'The cheetah attacks the mouse.', True)
('The rabbit is quiet.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The rabbit is quiet.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The crocodile is angry.', 'The crocodile is quiet.', False)
('The crocodile is angry.', 'The crocodile is quiet.', False)
('The cheetah is strong.', 'The cheetah is strong.', True)
('The cheetah is strong.', 'The cheetah is strong.', True)
('The mouse is small.', 'The mouse is beautiful.', False)
('The mouse is small.', 'The mouse is beautiful.', False)
('The crocodile chases the mouse.', 'The crocodile chases the mouse.', True)
('The crocodile chases the mouse.', 'The crocodile chases the mouse.', True)
('The hamster is round.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is round.', 'The hamster is are are are are are are are are are are are are are', False)
('The crocodile is rough.', 'The crocodile is slow.', False)
('The crocodile is rough.', 'The crocodile is slow.', False)
('The bald eagle is obese.', 'The bald eagle is heavy.', False)
('The bald eagle is obese.', 'The bald eagle is heavy.', False)
('The cat is lovely.', 'The cat is cute.', False)
('The cat is lovely.', 'The cat is cute.', False)
('The crocodile likes the cat.', 'The crocodile sees the hamster.', False)
('The crocodile likes the cat.', 'The crocodile sees the hamster.', False)
('The rabbit is kind.', 'The rabbit is is is is is is is is is is is is is is is i', False)
('The rabbit is kind.', 'The rabbit is is is is is is is is is is is is is is is i', False)
('The tiger is lazy.', 'The tiger is lazy.', True)
('The tiger is lazy.', 'The tiger is lazy.', True)
('The lion is strong.', 'The lion is funny.', False)
('The lion is strong.', 'The lion is funny.', False)
('The squirrel is cute.', 'The squirrel is beautiful.', False)
('The squirrel is cute.', 'The squirrel is beautiful.', False)
('The tiger visits the squirrel.', 'The tiger visits the squirrel.', True)
('The tiger visits the squirrel.', 'The tiger visits the squirrel.', True)
('The squirrel is quiet.', 'The squirrel is kind.', False)
('The squirrel is quiet.', 'The squirrel is kind.', False)
('The leopard is slow.', 'The leopard is dull.', False)
('The leopard is slow.', 'The leopard is dull.', False)
('The cheetah is heavy.', 'The cheetah is kind.', False)
('The cheetah is heavy.', 'The cheetah is kind.', False)
('The dog is beautiful.', 'The dog is beautiful.', True)
('The dog is beautiful.', 'The dog is beautiful.', True)
('The leopard chases the dog.', 'The leopard chases the dog.', True)
('The leopard chases the dog.', 'The leopard chases the dog.', True)
('The mouse is quiet.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is quiet.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The bear is rough.', 'The bear is slow.', False)
('The bear is rough.', 'The bear is slow.', False)
('The falcon is obese.', 'The falcon is heavy.', False)
('The falcon is obese.', 'The falcon is heavy.', False)
('The rabbit is small.', 'The rabbit is beautiful.', False)
('The rabbit is small.', 'The rabbit is beautiful.', False)
('The bear visits the rabbit.', 'The bear is and the bear is and and the bear is and and and the lazy.', False)
('The bear visits the rabbit.', 'The bear is and the bear is and and the lazy.', False)
('The cat is smart.', 'The cat is is is is is is is is is is is is is is is i', False)
('The cat is smart.', 'The cat is is is is is is is is is is is is is is is i', False)
('The snake is sleepy.', 'The snake is sleepy.', True)
('The snake is sleepy.', 'The snake is sleepy.', True)
('The cheetah is heavy.', 'The cheetah is big.', False)
('The cheetah is heavy.', 'The cheetah is big.', False)
('The dog is small.', 'The dog is is is is is is is is is is is is is is is i', False)
('The dog is small.', 'The dog is is is is is is is is is is is is is is is i', False)
('The snake chases the dog.', 'The snake chases the dog.', True)
('The snake chases the dog.', 'The snake chases the dog.', True)
('The mouse is quiet.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The mouse is quiet.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The bald eagle is boring.', 'The bald eagle is big.', False)
('The bald eagle is boring.', 'The bald eagle is big.', False)
('The falcon is awful.', 'The falcon is awful.', True)
('The falcon is awful.', 'The falcon is awful.', True)
('The rabbit is adorable.', 'The rabbit is beautiful.', False)
('The rabbit is adorable.', 'The rabbit is beautiful.', False)
('The bald eagle likes the rabbit.', 'The bald eagle likes the rabbit.', True)
('The bald eagle likes the rabbit.', 'The bald eagle likes the rabbit.', True)
('The rabbit is round.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The rabbit is round.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The bear is angry.', 'The bear is angry.', True)
('The bear is angry.', 'The bear is angry.', True)
('The cheetah is strong.', 'The cheetah is fierce.', False)
('The cheetah is strong.', 'The cheetah is fierce.', False)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The bear sees the squirrel.', 'The bear needs the rabbit.', False)
('The bear sees the squirrel.', 'The bear needs the rabbit.', False)
('The cat is smart.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is smart.', 'The cat is are are are are are are are are are are are are are are are', False)
('The bear is boring.', 'The bear is boring.', True)
('The bear is boring.', 'The bear is boring.', True)
('The snake is big.', 'The snake is awful.', False)
('The snake is big.', 'The snake is awful.', False)
('The rabbit is beautiful.', 'The rabbit is adorable.', False)
('The rabbit is beautiful.', 'The rabbit is adorable.', False)
('The bear attacks the rabbit.', 'The bear attacks the rabbit.', True)
('The bear attacks the rabbit.', 'The bear attacks the rabbit.', True)
('The hamster is round.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is round.', 'The hamster is are are are are are are are are are are are are are', False)
('The crocodile is reckless.', 'The crocodile is tired.', False)
('The crocodile is reckless.', 'The crocodile is tired.', False)
('The snake is fierce.', 'The snake is awful.', False)
('The snake is fierce.', 'The snake is awful.', False)
('The squirrel is funny.', 'The squirrel is is is is is is is is is is is is is is is i', False)
('The squirrel is funny.', 'The squirrel is is is is is is is is is is is is is is is i', False)
('The crocodile needs the squirrel.', 'The crocodile needs the squirrel.', True)
('The crocodile needs the squirrel.', 'The crocodile needs the squirrel.', True)
('The mouse is kind.', 'The mouse is kind.', True)
('The mouse is kind.', 'The mouse is kind.', True)
('The bear is slow.', 'The bear is sleepy.', False)
('The bear is slow.', 'The bear is sleepy.', False)
('The snake is fierce.', 'The snake is beautiful.', False)
('The snake is fierce.', 'The snake is beautiful.', False)
('The hamster is funny.', 'The hamster is beautiful.', False)
('The hamster is funny.', 'The hamster is beautiful.', False)
('The bear needs the hamster.', 'The bear is likes the mouse.', False)
('The bear needs the hamster.', 'The bear is likes the mouse.', False)
('The dog is quiet.', 'The dog is are are are are are are are are are are are are are are are', False)
('The dog is quiet.', 'The dog is are are are are are are are are are are are are are are are', False)
('The cheetah is angry.', 'The cheetah is obese.', False)
('The cheetah is angry.', 'The cheetah is obese.', False)
('The falcon is strong.', 'The falcon is awful.', False)
('The falcon is strong.', 'The falcon is awful.', False)
('The cat is furry.', 'The cat is adorable.', False)
('The cat is furry.', 'The cat is adorable.', False)
('The cheetah chases the cat.', 'The cheetah chases the cat.', True)
('The cheetah chases the cat.', 'The cheetah chases the cat.', True)
('The hamster is kind.', 'The hamster is kind.', True)
('The hamster is kind.', 'The hamster is obese.', False)
('The falcon is tired.', 'The falcon is obese.', False)
('The falcon is tired.', 'The falcon is obese.', False)
('The lion is heavy.', 'The lion is obese.', False)
('The lion is heavy.', 'The lion is obese.', False)
('The mouse is furry.', 'The mouse is adorable.', False)
('The mouse is furry.', 'The mouse is adorable.', False)
('The falcon visits the mouse.', 'The falcon is and is and are and is and are and is and are and is', False)
('The falcon visits the mouse.', 'The falcon is and is and are and is and are and is and are and is', False)
('The dog is quiet.', 'The dog is are are are are are are are are are are are are are are are', False)
('The dog is quiet.', 'The dog is are are are are are are are are are are are are are are are', False)
('The cheetah is slow.', 'The cheetah is tired.', False)
('The cheetah is slow.', 'The cheetah is tired.', False)
('The bear is heavy.', 'The bear is big.', False)
('The bear is heavy.', 'The bear is big.', False)
('The squirrel is cute.', 'The squirrel is cute.', True)
('The squirrel is cute.', 'The squirrel is cute.', True)
('The cheetah sees the squirrel.', 'The cheetah is likes the sleepy.', False)
('The cheetah sees the squirrel.', 'The cheetah is likes the sleepy.', False)
('The rabbit is nice.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The rabbit is nice.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The tiger is lazy.', 'The tiger is awful.', False)
('The tiger is lazy.', 'The tiger is awful.', False)
('The bald eagle is heavy.', 'The bald eagle is adorable.', False)
('The bald eagle is heavy.', 'The bald eagle is adorable.', False)
('The mouse is small.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The mouse is small.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The tiger visits the mouse.', 'The tiger needs the rabbit.', False)
('The tiger visits the mouse.', 'The tiger needs the rabbit.', False)
('The rabbit is quiet.', 'The rabbit is is is is is is is is is is is is is is is i', False)
('The rabbit is quiet.', 'The rabbit is is is is is is is is is is is is is is is i', False)
('The tiger is angry.', 'The tiger is slow.', False)
('The tiger is angry.', 'The tiger is slow.', False)
('The wolf is obese.', 'The wolf is angry.', False)
('The wolf is obese.', 'The wolf is angry.', False)
('The mouse is funny.', 'The mouse is beautiful.', False)
('The mouse is funny.', 'The mouse is beautiful.', False)
('The tiger likes the mouse.', 'The tiger visits the rabbit.', False)
('The tiger likes the mouse.', 'The tiger visits the rabbit.', False)
('The hamster is nice.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is nice.', 'The hamster is are are are are are are are are are are are are are', False)
('The cheetah is boring.', 'The cheetah is slow.', False)
('The cheetah is boring.', 'The cheetah is slow.', False)
('The lion is awful.', 'The lion is fierce.', False)
('The lion is awful.', 'The lion is fierce.', False)
('The rabbit is furry.', 'The rabbit is is is is is is is is is is is is is is is i', False)
('The rabbit is furry.', 'The rabbit is is is is is is is is is is is is is is is i', False)
('The cheetah visits the rabbit.', 'The cheetah is attacks the hamster.', False)
('The cheetah visits the rabbit.', 'The cheetah is attacks the hamster.', False)
('The cat is round.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is round.', 'The cat is are are are are are are are are are are are are are are are', False)
('The snake is slow.', 'The snake is boring.', False)
('The snake is slow.', 'The snake is boring.', False)
('The bald eagle is strong.', 'The bald eagle is fierce.', False)
('The bald eagle is strong.', 'The bald eagle is fierce.', False)
('The rabbit is small.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The rabbit is small.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The snake attacks the rabbit.', 'The snake needs the cat.', False)
('The snake attacks the rabbit.', 'The snake needs the cat.', False)
('The cat is quiet.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is quiet.', 'The cat is are are are are are are are are are are are are are are are', False)
('The crocodile is slow.', 'The crocodile is slow.', True)
('The crocodile is slow.', 'The crocodile is slow.', True)
('The bear is heavy.', 'The bear is beautiful.', False)
('The bear is heavy.', 'The bear is beautiful.', False)
('The hamster is adorable.', 'The hamster is cute.', False)
('The hamster is adorable.', 'The hamster is cute.', False)
('The crocodile sees the hamster.', 'The crocodile likes the cat.', False)
('The crocodile sees the hamster.', 'The crocodile likes the cat.', False)
('The rabbit is nice.', 'The rabbit is funny.', False)
('The rabbit is nice.', 'The rabbit is funny.', False)
('The tiger is sleepy.', 'The tiger is awful.', False)
('The tiger is sleepy.', 'The tiger is awful.', False)
('The lion is heavy.', 'The lion is obese.', False)
('The lion is heavy.', 'The lion is obese.', False)
('The mouse is funny.', 'The mouse is beautiful.', False)
('The mouse is funny.', 'The mouse is beautiful.', False)
('The tiger sees the mouse.', 'The tiger is and is and is and is and is and is and is an', False)
('The tiger sees the mouse.', 'The tiger is and is and is and is and is and is and is an', False)
('The squirrel is kind.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The squirrel is kind.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The falcon is lazy.', 'The falcon is lazy.', True)
('The falcon is lazy.', 'The falcon is lazy.', True)
('The snake is obese.', 'The snake is obese.', True)
('The snake is obese.', 'The snake is obese.', True)
('The dog is cute.', 'The dog is is is is is cute.', False)
('The dog is cute.', 'The dog is is is is is is cute.', False)
('The falcon attacks the dog.', 'The falcon is sleepy.', False)
('The falcon attacks the dog.', 'The falcon is sleepy.', False)
('The mouse is nice.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The mouse is nice.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The dinosaur is tired.', 'The dinosaur is dull.', False)
('The dinosaur is tired.', 'The dinosaur is dull.', False)
('The wolf is big.', 'The wolf is obese.', False)
('The wolf is big.', 'The wolf is obese.', False)
('The cat is lovely.', 'The cat is adorable.', False)
('The cat is lovely.', 'The cat is adorable.', False)
('The dinosaur sees the cat.', 'The dinosaur needs the mouse.', False)
('The dinosaur sees the cat.', 'The dinosaur needs the mouse.', False)
('The dog is round.', 'The dog is are are are are are are are are are are are are are are are', False)
('The dog is round.', 'The dog is are are are are are are are are are are are are are are are', False)
('The leopard is lazy.', 'The leopard is awful.', False)
('The leopard is lazy.', 'The leopard is awful.', False)
('The bear is big.', 'The bear is awful.', False)
('The bear is big.', 'The bear is awful.', False)
('The squirrel is lovely.', 'The squirrel is beautiful.', False)
('The squirrel is lovely.', 'The squirrel is beautiful.', False)
('The leopard needs the squirrel.', 'The leopard chases the dog.', False)
('The leopard needs the squirrel.', 'The leopard chases the dog.', False)
('The hamster is kind.', 'The hamster is is is is is is is is is is is is is i', False)
('The hamster is kind.', 'The hamster is is is is is is is is is is is is is i', False)
('The tiger is tired.', 'The tiger is tired.', True)
('The tiger is tired.', 'The tiger is tired.', True)
('The wolf is fierce.', 'The wolf is the wolf is strong.', False)
('The wolf is fierce.', 'The wolf is the wolf is the wolf is the nice.', False)
('The dog is beautiful.', 'The dog is beautiful.', True)
('The dog is beautiful.', 'The dog is beautiful.', True)
('The tiger likes the dog.', 'The tiger needs the hamster.', False)
('The tiger likes the dog.', 'The tiger needs the hamster.', False)
('The dog is smart.', 'The dog is are are are are are are are are are are are are are are are', False)
('The dog is smart.', 'The dog is are are are are are are are are are are are are are are are', False)
('The snake is angry.', 'The snake is dull.', False)
('The snake is angry.', 'The snake is sleepy.', False)
('The lion is awful.', 'The lion is obese.', False)
('The lion is awful.', 'The lion is obese.', False)
('The cat is small.', 'The cat is beautiful.', False)
('The cat is small.', 'The cat is beautiful.', False)
('The snake visits the cat.', 'The snake is visits the cat.', False)
('The snake visits the cat.', 'The snake is visits the cat.', False)
('The dog is nice.', 'The dog is beautiful.', False)
('The dog is nice.', 'The dog is beautiful.', False)
('The bald eagle is lazy.', 'The bald eagle is dull.', False)
('The bald eagle is lazy.', 'The bald eagle is dull.', False)
('The cheetah is obese.', 'The cheetah is adorable.', False)
('The cheetah is obese.', 'The cheetah is adorable.', False)
('The mouse is beautiful.', 'The mouse is kind.', False)
('The mouse is beautiful.', 'The mouse is kind.', False)
('The bald eagle sees the mouse.', 'The bald eagle is likes the slow.', False)
('The bald eagle sees the mouse.', 'The bald eagle is likes the slow.', False)
('The cat is nice.', 'The cat is adorable.', False)
('The cat is nice.', 'The cat is adorable.', False)
('The bald eagle is reckless.', 'The bald eagle is tired.', False)
('The bald eagle is reckless.', 'The bald eagle is tired.', False)
('The bear is strong.', 'The bear is strong.', True)
('The bear is strong.', 'The bear is strong.', True)
('The squirrel is adorable.', 'The squirrel is adorable.', True)
('The squirrel is adorable.', 'The squirrel is adorable.', True)
('The bald eagle attacks the squirrel.', 'The bald eagle is attacks the lazy.', False)
('The bald eagle attacks the squirrel.', 'The bald eagle is attacks the lazy.', False)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The bear is rough.', 'The bear is dull.', False)
('The bear is rough.', 'The bear is dull.', False)
('The tiger is strong.', 'The tiger is lovely.', False)
('The tiger is strong.', 'The tiger is lovely.', False)
('The mouse is adorable.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is adorable.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The bear attacks the mouse.', 'The bear attacks the mouse.', True)
('The bear attacks the mouse.', 'The bear attacks the mouse.', True)
('The cat is smart.', 'The cat is beautiful.', False)
('The cat is smart.', 'The cat is beautiful.', False)
('The cheetah is angry.', 'The cheetah is boring.', False)
('The cheetah is angry.', 'The cheetah is boring.', False)
('The leopard is obese.', 'The leopard is big.', False)
('The leopard is obese.', 'The leopard is big.', False)
('The hamster is beautiful.', 'The hamster is beautiful.', True)
('The hamster is beautiful.', 'The hamster is beautiful.', True)
('The cheetah likes the hamster.', 'The cheetah is likes the hamster.', False)
('The cheetah likes the hamster.', 'The cheetah is likes the hamster.', False)
('The dog is kind.', 'The dog is kind.', True)
('The dog is kind.', 'The dog is kind.', True)
('The lion is slow.', 'The lion is lazy.', False)
('The lion is slow.', 'The lion is lazy.', False)
('The bald eagle is fierce.', 'The bald eagle is slow.', False)
('The bald eagle is fierce.', 'The bald eagle is slow.', False)
('The hamster is adorable.', 'The hamster is adorable.', True)
('The hamster is adorable.', 'The hamster is adorable.', True)
('The lion sees the hamster.', 'The lion sees the hamster.', True)
('The lion sees the hamster.', 'The lion sees the hamster.', True)
('The dog is kind.', 'The dog is kind.', True)
('The dog is kind.', 'The dog is kind.', True)
('The bear is reckless.', 'The bear is reckless.', True)
('The bear is reckless.', 'The bear is reckless.', True)
('The dinosaur is obese.', 'The dinosaur is strong.', False)
('The dinosaur is obese.', 'The dinosaur is strong.', False)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The bear needs the rabbit.', 'The bear is likes the dog.', False)
('The bear needs the rabbit.', 'The bear is likes the dog.', False)
('The mouse is nice.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is nice.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The cheetah is reckless.', 'The cheetah is lazy.', False)
('The cheetah is reckless.', 'The cheetah is lazy.', False)
('The leopard is awful.', 'The leopard is big.', False)
('The leopard is awful.', 'The leopard is big.', False)
('The hamster is small.', 'The hamster is kind.', False)
('The hamster is small.', 'The hamster is kind.', False)
('The cheetah likes the hamster.', 'The cheetah is attacks the hamster.', False)
('The cheetah likes the hamster.', 'The cheetah is attacks the hamster.', False)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The lion is slow.', 'The lion is obese.', False)
('The lion is slow.', 'The lion is obese.', False)
('The leopard is strong.', 'The leopard is awful.', False)
('The leopard is strong.', 'The leopard is awful.', False)
('The mouse is furry.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The mouse is furry.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The lion visits the mouse.', 'The lion is and the lion is and and the rough.', False)
('The lion visits the mouse.', 'The lion is and the rough.', False)
('The dog is round.', 'The dog is are are are are are are are are are are are are are are are', False)
('The dog is round.', 'The dog is are are are are are are are are are are are are are are are', False)
('The snake is lazy.', 'The snake is angry.', False)
('The snake is lazy.', 'The snake is angry.', False)
('The dinosaur is big.', 'The dinosaur is smart.', False)
('The dinosaur is big.', 'The dinosaur is smart.', False)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The snake chases the mouse.', 'The snake is and are and is and are and is and are chases the mouse.', False)
('The snake chases the mouse.', 'The snake is and are and is and are and is and are chases the mouse.', False)
('The rabbit is quiet.', 'The rabbit is kind.', False)
('The rabbit is quiet.', 'The rabbit is kind.', False)
('The snake is rough.', 'The snake is awful.', False)
('The snake is rough.', 'The snake is awful.', False)
('The falcon is obese.', 'The falcon is awful.', False)
('The falcon is obese.', 'The falcon is awful.', False)
('The squirrel is cute.', 'The squirrel is cute.', True)
('The squirrel is cute.', 'The squirrel is cute.', True)
('The snake needs the squirrel.', 'The snake is boring.', False)
('The snake needs the squirrel.', 'The snake is boring.', False)
('The dog is kind.', 'The dog is kind.', True)
('The dog is kind.', 'The dog is kind.', True)
('The crocodile is boring.', 'The crocodile is boring.', True)
('The crocodile is boring.', 'The crocodile is boring.', True)
('The leopard is awful.', 'The leopard is fierce.', False)
('The leopard is awful.', 'The leopard is fierce.', False)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The crocodile attacks the mouse.', 'The crocodile likes the dog.', False)
('The crocodile attacks the mouse.', 'The crocodile likes the dog.', False)
('The squirrel is nice.', 'The squirrel is is is is is is is is is is is is is is is i', False)
('The squirrel is nice.', 'The squirrel is is is is is is is is is is is is is is is i', False)
('The lion is slow.', 'The lion is slow.', True)
('The lion is slow.', 'The lion is slow.', True)
('The bald eagle is heavy.', 'The bald eagle is lovely.', False)
('The bald eagle is heavy.', 'The bald eagle is lovely.', False)
('The hamster is small.', 'The hamster is small.', True)
('The hamster is small.', 'The hamster is small.', True)
('The lion needs the hamster.', 'The lion needs the hamster.', True)
('The lion needs the hamster.', 'The lion needs the hamster.', True)
('The dog is kind.', 'The dog is kind.', True)
('The dog is kind.', 'The dog is kind.', True)
('The tiger is boring.', 'The tiger is reckless.', False)
('The tiger is boring.', 'The tiger is reckless.', False)
('The bear is heavy.', 'The bear is boring.', False)
('The bear is heavy.', 'The bear is boring.', False)
('The rabbit is furry.', 'The rabbit is beautiful.', False)
('The rabbit is furry.', 'The rabbit is beautiful.', False)
('The tiger visits the rabbit.', 'The tiger is and are dull.', False)
('The tiger visits the rabbit.', 'The tiger is and are dull.', False)
('The cat is kind.', 'The cat is kind.', True)
('The cat is kind.', 'The cat is kind.', True)
('The wolf is reckless.', 'The wolf is awful.', False)
('The wolf is reckless.', 'The wolf is awful.', False)
('The dinosaur is obese.', 'The dinosaur is obese.', True)
('The dinosaur is obese.', 'The dinosaur is obese.', True)
('The hamster is adorable.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is adorable.', 'The hamster is are are are are are are are are are are are are are', False)
('The wolf attacks the hamster.', 'The wolf is and are and is and are and is and are and is and are', False)
('The wolf attacks the hamster.', 'The wolf is and are and is the wolf is and the lazy.', False)
('The cat is nice.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is nice.', 'The cat is are are are are are are are are are are are are are are are', False)
('The leopard is angry.', 'The leopard is angry.', True)
('The leopard is angry.', 'The leopard is angry.', True)
('The bald eagle is fierce.', 'The bald eagle is cute.', False)
('The bald eagle is fierce.', 'The bald eagle is cute.', False)
('The squirrel is lovely.', 'The squirrel is is is is is is is is is is is is is is is i', False)
('The squirrel is lovely.', 'The squirrel is is is is is is is is is is is is is is is i', False)
('The leopard likes the squirrel.', 'The leopard is likes the dull.', False)
('The leopard likes the squirrel.', 'The leopard is likes the dull.', False)
('The mouse is nice.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is nice.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The snake is reckless.', 'The snake is reckless.', True)
('The snake is reckless.', 'The snake is dull.', False)
('The lion is big.', 'The lion is awful.', False)
('The lion is big.', 'The lion is awful.', False)
('The rabbit is furry.', 'The rabbit is adorable.', False)
('The rabbit is furry.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The snake likes the rabbit.', 'The snake likes the rabbit.', True)
('The snake likes the rabbit.', 'The snake likes the rabbit.', True)
('The mouse is smart.', 'The mouse is beautiful.', False)
('The mouse is smart.', 'The mouse is beautiful.', False)
('The falcon is slow.', 'The falcon is fierce.', False)
('The falcon is slow.', 'The falcon is fierce.', False)
('The wolf is obese.', 'The wolf is slow.', False)
('The wolf is obese.', 'The wolf is slow.', False)
('The hamster is lovely.', 'The hamster is adorable.', False)
('The hamster is lovely.', 'The hamster is adorable.', False)
('The falcon sees the hamster.', 'The falcon sees the hamster.', True)
('The falcon sees the hamster.', 'The falcon sees the hamster.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The lion is dull.', 'The lion is dull.', True)
('The lion is dull.', 'The lion is dull.', True)
('The cheetah is big.', 'The cheetah is kind.', False)
('The cheetah is big.', 'The cheetah is kind.', False)
('The squirrel is lovely.', 'The squirrel is beautiful.', False)
('The squirrel is lovely.', 'The squirrel is beautiful.', False)
('The lion sees the squirrel.', 'The lion needs the hamster.', False)
('The lion sees the squirrel.', 'The lion needs the hamster.', False)
('The squirrel is smart.', 'The squirrel is kind.', False)
('The squirrel is smart.', 'The squirrel is kind.', False)
('The leopard is dull.', 'The leopard is dull.', True)
('The leopard is dull.', 'The leopard is dull.', True)
('The wolf is heavy.', 'The wolf is heavy.', True)
('The wolf is heavy.', 'The wolf is heavy.', True)
('The hamster is lovely.', 'The hamster is is is is is is is is is is is is is i', False)
('The hamster is lovely.', 'The hamster is is is is is is is is is is is is is i', False)
('The leopard visits the hamster.', 'The leopard is angry.', False)
('The leopard visits the hamster.', 'The leopard is angry.', False)
('The hamster is smart.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is smart.', 'The hamster is are are are are are are are are are are are are are', False)
('The tiger is sleepy.', 'The tiger is boring.', False)
('The tiger is sleepy.', 'The tiger is boring.', False)
('The leopard is fierce.', 'The leopard is adorable.', False)
